timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13
1 36 0 0 0 0 0 0 0 0
2 36 0 0 0 0 0 0 0 0
3 43 0 0 0 0 0 0 0 0
4 49 0 0 0 0 0 0 0 0
5 59 0 0 0 0 0 0 0 0
6 68 0 0 0 0 0 0 0 0
7 72 0 0 0 0 0 0 0 0
8 79 0 0 0 0 0 0 0 0
9 84 0 0 0 0 0 0 0 0
10 85 0 0 0 0 0 0 0 0
11 86 0 0 0 0 0 0 0 0
12 90 0 0 0 0 0 0 0 0
13 93 0 0 0 0 0 0 0 0
14 95 0 0 0 0 0 0 0 0
15 96 0 0 0 0 0 0 0 0
16 97 0 0 0 0 0 0 0 0
17 101 0 0 0 0 0 0 0 0
18 104 0 0 0 0 0 0 0 0
19 107 0 0 0 0 0 0 0 0
20 108 0 0 0 0 0 0 0 0
21 111 0 0 0 0 0 0 0 0
22 115 0 0 0 0 0 0 0 0
23 118 0 0 0 0 0 0 0 0
24 119 0 0 0 0 0 0 0 0
25 123 0 0 0 1 0 0 0 0
26 127 0 0 0 1 0 0 0 0
27 128 0 0 0 1 0 0 0 0
28 131 0 0 0 3 0 0 0 0
29 130 0 0 0 3 0 0 0 0
30 132 0 0 0 3 0 0 0 0
31 130 0 0 0 3 0 0 0 0
32 135 0 0 0 3 0 0 0 0
33 137 0 0 0 5 0 0 0 1
34 138 0 0 0 4 0 0 0 1
35 139 0 0 0 4 0 0 0 1
36 141 0 0 0 4 0 0 0 2
37 144 0 0 0 3 0 0 0 3
38 144 0 0 0 4 0 0 0 4
39 144 0 0 0 6 0 0 0 5
40 145 0 0 0 5 0 0 0 6
41 146 0 0 0 5 0 0 0 8
42 146 0 0 0 6 0 0 0 8
43 147 0 0 0 5 0 0 0 8
44 151 0 0 0 7 0 0 0 9
45 150 0 0 0 8 0 0 0 11
46 151 0 0 0 7 0 0 0 12
47 155 0 0 0 7 0 0 0 12
48 157 0 0 0 9 0 0 0 12
49 157 0 0 0 10 0 0 0 14
50 158 0 0 0 12 0 0 0 15
51 157 0 0 0 11 0 0 0 17
52 156 0 0 0 12 0 0 0 17
53 154 0 0 0 13 0 0 0 19
54 153 0 0 0 13 0 0 0 20
55 150 0 0 0 13 0 0 0 20
56 149 0 0 0 14 0 0 0 21
57 146 0 0 0 15 0 0 0 22
58 143 0 0 0 17 0 0 0 23
59 140 0 0 0 18 0 0 0 24
60 138 0 0 0 19 0 0 0 25
61 135 0 0 0 21 0 0 0 27
62 133 0 0 0 19 0 0 0 27
63 132 0 0 0 20 0 0 0 28
64 130 0 0 0 20 0 0 0 30
65 128 0 0 0 21 0 0 0 32
66 127 0 0 0 20 0 0 0 32
67 125 0 0 0 22 0 0 0 32
68 122 0 0 0 22 0 0 0 35
69 119 0 0 0 22 0 0 0 36
70 118 0 0 0 23 0 0 0 36
71 117 0 0 0 23 0 0 0 37
72 115 0 0 0 22 0 0 0 39
73 114 0 0 0 22 0 0 0 41
74 110 0 0 0 22 0 0 0 43
75 110 0 0 0 23 0 0 0 44
76 107 0 0 0 24 0 0 0 46
77 105 0 0 0 24 0 0 0 46
78 103 0 0 0 25 0 0 0 49
79 102 0 0 0 25 0 0 0 49
80 98 0 0 0 25 0 0 0 51
81 96 0 0 0 25 0 0 0 52
82 95 0 0 0 25 0 0 0 54
83 93 0 0 0 26 0 0 0 56
84 92 0 0 0 25 0 0 0 57
85 91 0 0 0 27 0 0 0 57
86 91 0 0 0 26 0 0 0 62
87 89 0 0 0 26 0 0 0 63
88 86 0 0 0 26 0 0 0 64
89 84 0 0 0 26 1 0 0 65
90 80 1 0 0 26 0 0 0 66
91 79 1 0 0 26 0 0 0 68
92 77 1 0 0 29 0 0 0 68
93 77 1 0 0 28 0 0 0 70
94 76 1 0 0 27 0 0 0 70
95 72 1 0 0 27 0 0 0 72
96 71 1 0 0 26 0 0 0 72
97 69 1 0 0 27 0 0 0 74
98 69 1 0 0 25 0 0 0 77
99 68 2 0 0 27 0 0 0 79
100 64 2 0 0 27 2 0 0 79
101 63 3 0 0 27 2 0 0 79
102 62 4 0 0 26 1 0 0 81
103 60 4 0 0 26 1 0 0 81
104 60 5 0 0 27 1 0 0 82
105 60 6 0 0 27 1 0 0 83
106 58 6 0 0 26 2 0 0 82
107 57 7 0 0 25 2 0 0 84
108 56 7 0 0 25 2 0 0 86
109 54 8 0 0 26 1 0 0 87
110 52 9 0 0 26 1 0 0 87
111 51 9 0 0 24 1 0 0 88
112 49 10 0 0 25 1 0 0 90
113 49 11 0 0 26 1 0 0 90
114 48 11 0 0 25 2 0 0 90
115 47 12 0 0 24 1 0 0 90
116 43 12 0 0 22 2 0 0 92
117 42 14 0 0 23 1 0 0 93
118 41 14 0 0 24 1 0 0 95
119 40 15 0 0 25 0 0 0 96
120 38 16 0 0 24 1 0 0 95
121 37 16 0 0 23 0 0 0 96
122 34 16 0 0 22 0 0 0 100
123 34 17 0 0 24 1 0 0 99
124 32 18 0 0 23 1 0 0 100
125 31 18 0 0 23 1 0 0 101
126 30 19 0 0 23 1 0 0 101
127 30 20 0 0 24 0 0 0 102
128 28 20 0 0 22 1 0 0 103
129 27 21 0 0 22 2 0 0 103
130 26 21 0 0 22 1 0 0 105
131 26 23 0 0 21 1 0 0 105
132 25 23 0 0 21 1 0 0 107
133 23 25 0 0 21 0 0 0 107
134 23 25 0 0 21 0 0 0 106
135 23 25 0 0 20 1 0 0 109
136 23 26 0 0 20 0 0 0 109
137 21 26 0 0 19 1 0 0 110
138 20 26 0 0 17 1 0 0 111
