timeStep areaDensityCounting-PID1 areaDensityCounting-PID2 areaDensityCounting-PID3
1 100 9 0
2 100 9 0
3 96 11 0
4 96 11 0
5 96 12 0
6 95 12 0
7 95 12 0
8 95 13 0
9 94 12 0
10 92 13 0
11 92 15 0
12 91 15 0
13 90 15 0
14 89 14 0
15 89 15 0
16 87 14 0
17 85 15 0
18 85 15 0
19 85 17 0
20 84 14 0
21 83 14 0
22 82 16 0
23 82 14 0
24 82 13 0
25 82 12 0
26 80 14 0
27 79 14 0
28 79 14 0
29 79 13 0
30 79 12 0
31 77 14 0
32 76 13 0
33 76 13 0
34 76 11 0
35 76 12 0
36 74 13 0
37 74 14 0
38 74 13 0
39 72 13 0
40 71 15 0
41 71 15 0
42 70 14 0
43 69 11 0
44 69 12 0
45 68 13 0
46 68 12 0
47 66 13 0
48 66 12 1
49 65 10 1
50 64 12 1
51 64 12 1
52 64 11 3
53 62 12 3
54 62 12 3
55 62 12 3
56 62 12 3
57 62 11 5
58 61 10 5
59 60 9 5
60 59 11 7
61 59 11 7
62 59 12 8
63 58 12 8
64 58 12 8
65 57 11 7
66 56 11 8
67 56 12 9
68 56 13 8
69 56 13 9
70 54 12 8
71 53 13 8
72 53 11 8
73 53 12 10
74 53 10 10
75 51 11 10
76 51 11 11
77 50 11 11
78 49 10 10
79 49 10 12
80 48 11 13
81 47 11 12
82 46 11 12
83 46 11 13
84 45 12 13
85 45 11 12
86 44 10 13
87 44 9 13
88 43 9 12
89 43 12 13
90 41 12 11
91 39 11 13
92 39 10 13
93 38 12 14
94 38 13 13
95 38 12 14
96 38 11 15
97 36 12 14
98 35 11 13
99 35 10 13
100 35 10 15
101 35 9 15
102 33 10 14
103 33 11 13
104 33 11 13
105 33 10 12
106 32 10 12
107 32 10 11
108 32 11 9
109 31 11 9
110 31 10 11
111 30 10 11
112 29 10 10
113 29 10 11
114 27 11 11
115 27 11 12
116 27 11 11
117 26 11 11
118 26 11 13
119 26 10 12
120 25 9 11
121 24 11 12
122 24 11 14
123 24 10 13
124 22 11 13
125 22 11 14
126 22 11 14
127 21 11 14
128 21 9 13
129 20 8 12
130 20 8 13
131 20 8 13
132 19 8 13
133 19 8 13
134 19 8 12
135 18 8 11
136 18 7 10
137 18 7 10
138 18 7 9
139 16 8 9
140 16 9 9
141 16 9 9
142 16 9 8
143 14 11 10
144 14 11 10
145 14 11 9
146 14 11 8
147 14 11 9
148 14 10 9
149 12 9 8
150 12 9 7
151 12 10 7
152 12 10 8
153 12 8 7
154 11 9 7
155 11 8 6
156 11 9 7
157 10 8 7
158 10 8 8
159 9 8 9
160 9 8 7
161 9 9 7
162 9 8 8
163 6 9 9
164 6 9 9
165 6 9 9
166 5 8 9
167 5 8 9
168 5 7 11
169 5 8 12
170 5 7 12
171 4 7 12
172 4 7 12
173 4 7 12
174 4 6 15
175 3 5 14
176 3 5 13
177 3 5 13
178 3 4 12
179 2 5 12
180 2 5 13
181 2 4 13
182 2 4 13
183 2 4 12
184 1 4 12
185 1 4 12
186 1 4 11
187 1 4 11
188 1 2 11
189 0 2 10
190 0 2 9
191 0 2 9
192 0 2 8
193 0 2 8
194 0 2 8
195 0 2 8
196 0 2 7
197 0 2 6
198 0 2 7
199 0 2 6
200 0 2 6
201 0 1 6
202 0 1 6
203 0 1 6
204 0 1 6
205 0 1 6
206 0 1 7
207 0 1 6
208 0 1 6
209 0 1 6
210 0 1 7
211 0 0 7
212 0 0 9
213 0 0 9
214 0 0 9
215 0 0 9
216 0 0 8
217 0 0 8
218 0 0 8
219 0 0 9
220 0 0 9
221 0 0 9
222 0 0 8
223 0 0 8
224 0 0 9
225 0 0 8
226 0 0 7
227 0 0 7
228 0 0 6
229 0 0 6
230 0 0 5
231 0 0 3
232 0 0 3
233 0 0 4
234 0 0 3
235 0 0 3
236 0 0 3
237 0 0 3
238 0 0 3
239 0 0 4
240 0 0 3
241 0 0 3
242 0 0 3
243 0 0 3
244 0 0 2
245 0 0 3
246 0 0 3
247 0 0 3
248 0 0 3
249 0 0 3
250 0 0 3
251 0 0 3
252 0 0 2
253 0 0 2
254 0 0 2
255 0 0 3
256 0 0 3
257 0 0 2
258 0 0 2
259 0 0 2
260 0 0 2
261 0 0 2
262 0 0 2
263 0 0 2
264 0 0 2
265 0 0 2
266 0 0 2
267 0 0 2
268 0 0 2
269 0 0 2
270 0 0 2
271 0 0 2
272 0 0 2
273 0 0 2
274 0 0 2
275 0 0 2
276 0 0 2
277 0 0 2
278 0 0 0
279 0 0 0
280 0 0 0
281 0 0 0
282 0 0 0
283 0 0 0
284 0 0 1
285 0 0 1
286 0 0 1
287 0 0 1
288 0 0 1
289 0 0 1
290 0 0 1
291 0 0 1
292 0 0 1
293 0 0 1
294 0 0 1
295 0 0 1
296 0 0 1
297 0 0 1
298 0 0 1
299 0 0 1
300 0 0 1
301 0 0 1
