timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 5 149 0.38735437029762604 0.002645629702373975
2 121 141 0.3825949238923487 0.007405076107651287
2 121 272 0.3839169153030869 0.006083084696913099
3 142 236 0.38363531615691243 0.006364683843087582
4 25 135 0.3833664664798768 0.0066335335201231915
4 59 296 0.3867461287522378 0.003253871247762219
6 5 261 0.3879610592208508 0.0020389407791492342
6 183 275 0.38644367568615795 0.003556324313842063
12 40 262 0.385672238192768 0.004327761807231989
37 64 282 0.38229633702625376 0.00770366297374625
50 124 167 0.3884829248656723 0.0015170751343276945
52 193 276 0.38097657899806003 0.00902342100193998
56 269 283 0.3877893410559748 0.0022106589440252233
57 269 283 0.3877893410559748 0.0022106589440252233
